lnadjcloseSP500,lnadjcloseGE
-0.00755229,-0.006326632
-0.008114655,-0.010767801
0.00179962,-0.006839697
-0.000470616,0.014429108
-0.004946438,0.003574979
-0.010248488,-0.014377244
0.000699587,0
-0.000947119,0.006415419
0.002438506,0.006771585
-0.007625142,-0.012382822
0.013678588,0.018714462
-0.000694327,-0.003556613
-0.006517947,-0.01676686
0.002724519,-0.006462058
0.004470826,0.007266887
0.002265945,0
0.005953175,0.008012863
-0.008379961,-0.001197844
8.46593E-06,0.002394255
0.005529844,0.007544209
-0.011831351,-0.012739026
-0.010052143,-0.004014457
-0.016861816,0.00721446
0.002936295,0.006766195
0.00591625,0
-0.013343545,-0.013176473
0.019544029,0.016740128
-0.006773177,-0.000790826
0.00862499,0.007880261
-0.008876731,-0.005509656
0.003942454,0.005902043
-0.011445594,-0.020210714
0.011851952,0.014703225
0.004579548,0.001576666
-0.000852225,-0.004341826
0.012393069,0.002765161
-0.002572097,-0.009512557
-0.00109216,0
0.006373974,0.0103012
-0.010763155,-0.011098013
0.004184268,0.01030937
-0.010083888,-0.009114388
-0.004590634,-0.004788517
0.010035692,0.015085637
0.006933163,0.006284388
0.009968888,0.011677828
0.004645222,0.000773694
-0.001512377,0.001931621
0.003843673,0.005004823
0.000175885,-0.003076926
-0.003405929,-0.005407506
0.006374544,0.001934611
0.000968119,-0.001547389
-0.006091355,-0.01089929
0.00895683,0.01244668
0.001720334,-0.001160317
-0.006890804,-0.005432687
0.001245023,-0.00233736
-0.000208788,0.00622086
-0.002165616,-0.001163467
0.00522626,0
-0.002350941,-0.004667453
0.002259342,-0.00195122
0.002569937,-0.003913899
0.002215318,-0.002355714
0.003623522,-0.005913678
0.004942512,0.010619569
-0.000706929,-0.005885832
-0.002049628,-0.0035482
0.000222452,-0.011919092
-0.010892136,-0.02386362
-0.00765794,0.003269312
-0.000738794,-0.004907985
0.009096064,0.015460031
-0.001432486,-0.004045313
-0.007126219,-0.010185462
0.002607126,0.002453989
0.008793812,-0.00040858
-0.008375293,-0.011508553
0.002449005,-0.004142508
0.01161139,0.023385681
0.006235368,0.003238869
0.002268958,0
0.000883255,0.002018979
0.002620634,0.012825827
0.001157096,-0.002791627
-0.005545021,-0.009227749
0.006708915,0.003621006
0.004747326,-0.000803536
-0.006628135,-0.008476337
0.005396808,0.001620089
-0.003776332,-0.008534902
0.001731574,-0.002042902
0.004562499,0.002858895
0.005587575,0.002443993
-0.007700107,-0.011045316
0.000947549,-0.007017573
0.007074122,0
0.000739205,-0.001243523
-0.007400574,-0.005823644
-0.007667728,-0.005857757
-0.002686209,-0.001679967
0.006722345,0.011285386
-0.00182889,-0.007509422
0.007037087,0.018257769
-0.006012497,-0.007428841
0.002824379,-0.001243523
-0.011845843,-0.009585404
0.000737832,0.006261761
-0.001000303,-0.003334726
0.000565868,-0.000835422
0.001654762,0.000417798
-0.003394392,0
-0.006592036,-0.012610508
0.002295662,-0.001269841
-0.006014571,-0.003819228
0.005940333,0.006779687
-0.003197438,-0.011040452
0.009815868,0.01146266
0.001031975,-0.014456034
-0.002926699,0.005977815
0.012539886,0.01814013
0.002405103,0.002088119
-0.003800607,-0.005018831
0.007933244,0.004184107
-0.000741326,0.01286058
-0.007573587,-0.00413053
-0.003286747,-0.006644543
0.000464379,0.009537704
0.008257538,0.002473208
-0.00558138,-0.012010913
-0.007894477,-0.006269613
-0.009162981,-0.008844025
0.003645635,-0.000846382
0.000551461,0.002959207
0.000279729,-0.003806306
2.46783E-05,0.010956705
0.001011285,-0.004199922
0.008827786,0.004618946
0.000920012,0.000418848
-0.001718584,-0.013066572
-0.010019869,-0.011521356
-0.014999078,-0.005163523
-0.004104065,0.027655453
0.003694415,0.018295729
-0.007191951,-0.006614328
-0.002074025,-0.005406543
-0.006086662,0
-0.000713521,0.00623573
0.008233912,0.009486563
0.002970545,-0.009486563
-0.010100414,-0.000414508
0.014845043,0.011951513
-0.015133675,-0.015689835
0.001518629,-0.004170148
0.016637836,0.011632869
-0.002370698,-0.006630774
-0.00432176,-0.005838215
-0.010530499,-0.003771218
0.016413878,0.013758816
0.007150549,-0.004149384
-0.003527311,-0.009189705
0.009927611,0.006274858
0.004255151,0.004991691
0.000163929,0.001244039
0.002185883,0
-0.003457036,-0.007487556
0.001689051,0.004582387
0.008410849,0.016897167
0.003049871,0.004485227
-0.000777807,-0.007349972
-0.00385745,0
0.001788458,0.004089985
0.009369473,0.003666739
0.004391694,0.030833273
0.005257451,0.012539349
0.005071392,-0.003901683
0.003466784,-0.003524578
0.002083778,0.00742626
-0.008544184,-0.00625002
0.000015905,-0.00117624
-0.006382254,-0.005902043
0.012083754,0.000788955
0.000324143,-0.007123101
-0.002366284,0.007517345
0.001274849,0.0011818
-0.005021688,-0.006715411
